,,,,
,,,,
,,,,
,,,,
,,,,
Date,OPEN,HIGH,LOW,LAST
10/2/28,21.26,21.26,21.26,21.26
10/3/28,21.19,21.19,21.19,21.19
10/4/28,21.26,21.26,21.26,21.26
10/5/28,21.22,21.22,21.22,21.22
10/8/28,21.11,21.11,21.11,21.11
10/9/28,21.18,21.18,21.18,21.18
10/10/28,21.41,21.41,21.41,21.41
10/11/28,21.51,21.51,21.51,21.51
10/15/28,21.65,21.65,21.65,21.65
10/16/28,21.72,21.72,21.72,21.72
10/17/28,21.79,21.79,21.79,21.79
10/18/28,21.84,21.84,21.84,21.84
10/19/28,21.96,21.96,21.96,21.96
10/22/28,21.81,21.81,21.81,21.81
10/23/28,21.95,21.95,21.95,21.95
10/24/28,21.99,21.99,21.99,21.99
10/25/28,21.91,21.91,21.91,21.91
10/26/28,21.65,21.65,21.65,21.65
10/29/28,22,22,22,22
10/30/28,21.76,21.76,21.76,21.76
10/31/28,21.68,21.68,21.68,21.68
11/1/28,21.99,21.99,21.99,21.99
11/2/28,21.95,21.95,21.95,21.95
11/5/28,22.24,22.24,22.24,22.24
11/6/28,22.5,22.5,22.5,22.5
11/8/28,22.39,22.39,22.39,22.39
11/9/28,22.55,22.55,22.55,22.55
11/12/28,22.84,22.84,22.84,22.84
11/13/28,22.91,22.91,22.91,22.91
11/14/28,22.91,22.91,22.91,22.91
11/15/28,23.03,23.03,23.03,23.03
11/16/28,23.37,23.37,23.37,23.37
11/19/28,23.37,23.37,23.37,23.37
11/20/28,23.57,23.57,23.57,23.57
11/21/28,23.22,23.22,23.22,23.22
11/22/28,23.52,23.52,23.52,23.52
11/23/28,23.7,23.7,23.7,23.7
11/26/28,23.8,23.8,23.8,23.8
11/27/28,23.91,23.91,23.91,23.91
11/28/28,24.19,24.19,24.19,24.19
11/30/28,24.28,24.28,24.28,24.28
12/3/28,23.85,23.85,23.85,23.85
12/4/28,23.91,23.91,23.91,23.91
12/5/28,23.81,23.81,23.81,23.81
12/6/28,22.91,22.91,22.91,22.91
12/7/28,22.36,22.36,22.36,22.36
12/10/28,22.31,22.31,22.31,22.31
12/11/28,22.74,22.74,22.74,22.74
12/12/28,22.52,22.52,22.52,22.52
12/13/28,22.48,22.48,22.48,22.48
12/14/28,22.53,22.53,22.53,22.53
12/17/28,22.44,22.44,22.44,22.44
12/18/28,22.7,22.7,22.7,22.7
12/19/28,22.98,22.98,22.98,22.98
12/20/28,23.07,23.07,23.07,23.07
12/21/28,23.33,23.33,23.33,23.33
12/24/28,23.54,23.54,23.54,23.54
12/26/28,23.44,23.44,23.44,23.44
12/27/28,23.64,23.64,23.64,23.64
12/28/28,23.98,23.98,23.98,23.98
12/31/28,24.35,24.35,24.35,24.35
1/2/29,24.81,24.81,24.81,24.81
1/3/29,24.86,24.86,24.86,24.86
1/4/29,24.85,24.85,24.85,24.85
1/7/29,24.25,24.25,24.25,24.25
1/8/29,24.17,24.17,24.17,24.17
1/9/29,24.54,24.54,24.54,24.54
1/10/29,24.58,24.58,24.58,24.58
1/11/29,24.54,24.54,24.54,24.54
1/14/29,24.59,24.59,24.59,24.59
1/15/29,24.23,24.23,24.23,24.23
1/16/29,24.56,24.56,24.56,24.56
1/17/29,24.69,24.69,24.69,24.69
1/18/29,24.77,24.77,24.77,24.77
1/21/29,24.86,24.86,24.86,24.86
1/22/29,25.07,25.07,25.07,25.07
1/23/29,25.22,25.22,25.22,25.22
1/24/29,25.06,25.06,25.06,25.06
1/25/29,25.48,25.48,25.48,25.48
1/28/29,25.35,25.35,25.35,25.35
1/29/29,25.36,25.36,25.36,25.36
1/30/29,25.45,25.45,25.45,25.45
1/31/29,25.74,25.74,25.74,25.74
2/1/29,25.84,25.84,25.84,25.84
2/4/29,25.64,25.64,25.64,25.64
2/5/29,25.7,25.7,25.7,25.7
2/6/29,25.49,25.49,25.49,25.49
2/7/29,24.71,24.71,24.71,24.71
2/8/29,24.44,24.44,24.44,24.44
2/11/29,24.98,24.98,24.98,24.98
2/13/29,24.95,24.95,24.95,24.95
2/14/29,24.85,24.85,24.85,24.85
2/15/29,24.35,24.35,24.35,24.35
2/18/29,24.39,24.39,24.39,24.39
2/19/29,24.38,24.38,24.38,24.38
2/20/29,24.59,24.59,24.59,24.59
2/21/29,24.86,24.86,24.86,24.86
2/25/29,24.91,24.91,24.91,24.91
2/26/29,24.95,24.95,24.95,24.95
2/27/29,25.25,25.25,25.25,25.25
2/28/29,25.59,25.59,25.59,25.59
3/1/29,25.83,25.83,25.83,25.83
3/4/29,25.49,25.49,25.49,25.49
3/5/29,25.32,25.32,25.32,25.32
3/6/29,24.92,24.92,24.92,24.92
3/7/29,25.15,25.15,25.15,25.15
3/8/29,25.31,25.31,25.31,25.31
3/11/29,24.95,24.95,24.95,24.95
3/12/29,24.97,24.97,24.97,24.97
3/13/29,25.24,25.24,25.24,25.24
3/14/29,25.73,25.73,25.73,25.73
3/15/29,26.08,26.08,26.08,26.08
3/18/29,26.04,26.04,26.04,26.04
3/19/29,26.03,26.03,26.03,26.03
3/20/29,26.02,26.02,26.02,26.02
3/21/29,25.9,25.9,25.9,25.9
3/22/29,25.55,25.55,25.55,25.55
3/25/29,24.51,24.51,24.51,24.51
3/26/29,24.35,24.35,24.35,24.35
3/27/29,25.09,25.09,25.09,25.09
3/28/29,25.53,25.53,25.53,25.53
4/1/29,24.88,24.88,24.88,24.88
4/2/29,25.17,25.17,25.17,25.17
4/3/29,24.86,24.86,24.86,24.86
4/4/29,25.3,25.3,25.3,25.3
4/5/29,25.05,25.05,25.05,25.05
4/8/29,24.83,24.83,24.83,24.83
4/9/29,24.63,24.63,24.63,24.63
4/10/29,24.78,24.78,24.78,24.78
4/11/29,25.06,25.06,25.06,25.06
4/12/29,25.15,25.15,25.15,25.15
4/15/29,25,25,25,25
4/16/29,25.06,25.06,25.06,25.06
4/17/29,25.32,25.32,25.32,25.32
4/18/29,25.43,25.43,25.43,25.43
4/19/29,25.41,25.41,25.41,25.41
4/22/29,25.7,25.7,25.7,25.7
4/23/29,25.85,25.85,25.85,25.85
4/24/29,25.75,25.75,25.75,25.75
4/25/29,25.63,25.63,25.63,25.63
4/26/29,25.58,25.58,25.58,25.58
4/29/29,25.53,25.53,25.53,25.53
4/30/29,25.94,25.94,25.94,25.94
5/1/29,25.99,25.99,25.99,25.99
5/2/29,26.11,26.11,26.11,26.11
5/3/29,26.37,26.37,26.37,26.37
5/6/29,26.32,26.32,26.32,26.32
5/7/29,26.07,26.07,26.07,26.07
5/8/29,26.18,26.18,26.18,26.18
5/9/29,26.02,26.02,26.02,26.02
5/10/29,26.34,26.34,26.34,26.34
5/13/29,25.64,25.64,25.64,25.64
5/14/29,25.95,25.95,25.95,25.95
5/15/29,25.84,25.84,25.84,25.84
5/16/29,25.97,25.97,25.97,25.97
5/17/29,26.09,26.09,26.09,26.09
5/20/29,25.39,25.39,25.39,25.39
5/21/29,25.7,25.7,25.7,25.7
5/22/29,24.76,24.76,24.76,24.76
5/23/29,25.31,25.31,25.31,25.31
5/24/29,25.12,25.12,25.12,25.12
5/27/29,24.2,24.2,24.2,24.2
5/28/29,24.59,24.59,24.59,24.59
5/29/29,24.62,24.62,24.62,24.62
5/31/29,24.83,24.83,24.83,24.83
6/3/29,25.27,25.27,25.27,25.27
6/4/29,25.64,25.64,25.64,25.64
6/5/29,25.59,25.59,25.59,25.59
6/6/29,25.64,25.64,25.64,25.64
6/7/29,25.53,25.53,25.53,25.53
6/10/29,25.27,25.27,25.27,25.27
6/11/29,25.43,25.43,25.43,25.43
6/12/29,25.45,25.45,25.45,25.45
6/13/29,25.84,25.84,25.84,25.84
6/14/29,25.93,25.93,25.93,25.93
6/17/29,26.41,26.41,26.41,26.41
6/18/29,26.42,26.42,26.42,26.42
6/19/29,26.32,26.32,26.32,26.32
6/20/29,26.47,26.47,26.47,26.47
6/21/29,26.62,26.62,26.62,26.62
6/24/29,26.62,26.62,26.62,26.62
6/25/29,26.9,26.9,26.9,26.9
6/26/29,27.06,27.06,27.06,27.06
6/27/29,27.11,27.11,27.11,27.11
6/28/29,27.41,27.41,27.41,27.41
7/1/29,27.77,27.77,27.77,27.77
7/2/29,28.06,28.06,28.06,28.06
7/3/29,28.18,28.18,28.18,28.18
7/5/29,28.32,28.32,28.32,28.32
7/8/29,28.37,28.37,28.37,28.37
7/9/29,28.28,28.28,28.28,28.28
7/10/29,28.2,28.2,28.2,28.2
7/11/29,28.26,28.26,28.26,28.26
7/12/29,28.57,28.57,28.57,28.57
7/15/29,28.45,28.45,28.45,28.45
7/16/29,28.65,28.65,28.65,28.65
7/17/29,28.72,28.72,28.72,28.72
7/18/29,28.66,28.66,28.66,28.66
7/19/29,28.76,28.76,28.76,28.76
7/22/29,28.43,28.43,28.43,28.43
7/23/29,28.83,28.83,28.83,28.83
7/24/29,28.64,28.64,28.64,28.64
7/25/29,28.77,28.77,28.77,28.77
7/26/29,28.66,28.66,28.66,28.66
7/29/29,28.18,28.18,28.18,28.18
7/30/29,28.5,28.5,28.5,28.5
7/31/29,28.88,28.88,28.88,28.88
8/1/29,29.08,29.08,29.08,29.08
8/2/29,29.56,29.56,29.56,29.56
8/5/29,29.54,29.54,29.54,29.54
8/6/29,29.43,29.43,29.43,29.43
8/7/29,29.13,29.13,29.13,29.13
8/8/29,29.47,29.47,29.47,29.47
8/9/29,28.38,28.38,28.38,28.38
8/12/29,29.27,29.27,29.27,29.27
8/13/29,29.53,29.53,29.53,29.53
8/14/29,29.62,29.62,29.62,29.62
8/15/29,29.67,29.67,29.67,29.67
8/16/29,30.22,30.22,30.22,30.22
8/19/29,30.5,30.5,30.5,30.5
8/20/29,30.68,30.68,30.68,30.68
8/21/29,30.55,30.55,30.55,30.55
8/22/29,30.79,30.79,30.79,30.79
8/23/29,31.09,31.09,31.09,31.09
8/26/29,31.07,31.07,31.07,31.07
8/27/29,31.05,31.05,31.05,31.05
8/28/29,30.99,30.99,30.99,30.99
8/29/29,31.29,31.29,31.29,31.29
8/30/29,31.71,31.71,31.71,31.71
9/3/29,31.82,31.82,31.82,31.82
9/4/29,31.72,31.72,31.72,31.72
9/5/29,31.02,31.02,31.02,31.02
9/6/29,31.83,31.83,31.83,31.83
9/9/29,31.67,31.67,31.67,31.67
9/10/29,31.1,31.1,31.1,31.1
9/11/29,31.53,31.53,31.53,31.53
9/12/29,31.17,31.17,31.17,31.17
9/13/29,31.38,31.38,31.38,31.38
9/16/29,31.86,31.86,31.86,31.86
9/17/29,31.6,31.6,31.6,31.6
9/18/29,31.68,31.68,31.68,31.68
9/19/29,31.73,31.73,31.73,31.73
9/20/29,31.39,31.39,31.39,31.39
9/23/29,31.38,31.38,31.38,31.38
9/24/29,30.8,30.8,30.8,30.8
9/25/29,30.85,30.85,30.85,30.85
9/26/29,31.13,31.13,31.13,31.13
9/27/29,30.27,30.27,30.27,30.27
9/30/29,30.16,30.16,30.16,30.16
10/1/29,29.98,29.98,29.98,29.98
10/2/29,30.2,30.2,30.2,30.2
10/3/29,28.95,28.95,28.95,28.95
10/4/29,28.65,28.65,28.65,28.65
10/7/29,30.44,30.44,30.44,30.44
10/8/29,30.34,30.34,30.34,30.34
10/9/29,30.27,30.27,30.27,30.27
10/10/29,30.81,30.81,30.81,30.81
10/11/29,30.76,30.76,30.76,30.76
10/14/29,30.55,30.55,30.55,30.55
10/15/29,30.3,30.3,30.3,30.3
10/16/29,29.24,29.24,29.24,29.24
10/17/29,29.69,29.69,29.69,29.69
10/18/29,28.84,28.84,28.84,28.84
10/21/29,27.73,27.73,27.73,27.73
10/22/29,28.27,28.27,28.27,28.27
10/23/29,26.6,26.6,26.6,26.6
10/24/29,25.75,25.75,25.75,25.75
10/25/29,26.12,26.12,26.12,26.12
10/28/29,22.74,22.74,22.74,22.74
10/29/29,20.43,20.43,20.43,20.43
10/30/29,22.99,22.99,22.99,22.99
10/31/29,24.15,24.15,24.15,24.15
11/4/29,22.88,22.88,22.88,22.88
11/6/29,20.61,20.61,20.61,20.61
11/7/29,21.37,21.37,21.37,21.37
11/8/29,21.18,21.18,21.18,21.18
11/11/29,19.86,19.86,19.86,19.86
11/12/29,18.73,18.73,18.73,18.73
11/13/29,17.66,17.66,17.66,17.66
11/14/29,19.24,19.24,19.24,19.24
11/15/29,20.3,20.3,20.3,20.3
11/18/29,20.09,20.09,20.09,20.09
11/19/29,20.7,20.7,20.7,20.7
11/20/29,21.27,21.27,21.27,21.27
11/21/29,21.61,21.61,21.61,21.61
11/22/29,21.53,21.53,21.53,21.53
11/25/29,21.28,21.28,21.28,21.28
11/26/29,20.66,20.66,20.66,20.66
11/27/29,20.92,20.92,20.92,20.92
12/2/29,20.95,20.95,20.95,20.95
12/3/29,21.65,21.65,21.65,21.65
12/4/29,22.05,22.05,22.05,22.05
12/5/29,21.87,21.87,21.87,21.87
12/6/29,22.45,22.45,22.45,22.45
12/9/29,22.4,22.4,22.4,22.4
12/10/29,22.57,22.57,22.57,22.57
12/11/29,22.38,22.38,22.38,22.38
12/12/29,21.17,21.17,21.17,21.17
12/13/29,21.7,21.7,21.7,21.7
12/16/29,21.33,21.33,21.33,21.33
12/17/29,21.56,21.56,21.56,21.56
12/18/29,21.42,21.42,21.42,21.42
12/19/29,20.85,20.85,20.85,20.85
12/20/29,20.16,20.16,20.16,20.16
12/23/29,20.26,20.26,20.26,20.26
12/24/29,20.39,20.39,20.39,20.39
12/26/29,20.84,20.84,20.84,20.84
12/27/29,20.82,20.82,20.82,20.82
12/30/29,20.89,20.89,20.89,20.89
12/31/29,21.45,21.45,21.45,21.45
1/2/30,21.18,21.18,21.18,21.18
1/3/30,21.23,21.23,21.23,21.23
1/6/30,21.5,21.5,21.5,21.5
1/7/30,21.31,21.31,21.31,21.31
1/8/30,21.29,21.29,21.29,21.29
1/9/30,21.62,21.62,21.62,21.62
1/10/30,21.55,21.55,21.55,21.55
1/13/30,21.52,21.52,21.52,21.52
1/14/30,21.56,21.56,21.56,21.56
1/15/30,21.65,21.65,21.65,21.65
1/16/30,21.5,21.5,21.5,21.5
1/17/30,21.31,21.31,21.31,21.31
1/20/30,21.5,21.5,21.5,21.5
1/21/30,21.61,21.61,21.61,21.61
1/22/30,21.63,21.63,21.63,21.63
1/23/30,21.84,21.84,21.84,21.84
1/24/30,22.04,22.04,22.04,22.04
1/27/30,22.21,22.21,22.21,22.21
1/28/30,22.1,22.1,22.1,22.1
1/29/30,22.35,22.35,22.35,22.35
1/30/30,22.47,22.47,22.47,22.47
1/31/30,22.79,22.79,22.79,22.79
2/3/30,22.74,22.74,22.74,22.74
2/4/30,23.01,23.01,23.01,23.01
2/5/30,23.31,23.31,23.31,23.31
2/6/30,23.06,23.06,23.06,23.06
2/7/30,22.97,22.97,22.97,22.97
2/10/30,23.12,23.12,23.12,23.12
2/11/30,23.32,23.32,23.32,23.32
2/13/30,23.36,23.36,23.36,23.36
2/14/30,23.35,23.35,23.35,23.35
2/17/30,23.26,23.26,23.26,23.26
2/18/30,23.28,23.28,23.28,23.28
2/19/30,23.07,23.07,23.07,23.07
2/20/30,22.64,22.64,22.64,22.64
2/21/30,22.92,22.92,22.92,22.92
2/24/30,22.68,22.68,22.68,22.68
2/25/30,22.69,22.69,22.69,22.69
2/26/30,23.11,23.11,23.11,23.11
2/27/30,23.08,23.08,23.08,23.08
2/28/30,23.28,23.28,23.28,23.28
3/3/30,23.36,23.36,23.36,23.36
3/4/30,23.54,23.54,23.54,23.54
3/5/30,23.36,23.36,23.36,23.36
3/6/30,23.59,23.59,23.59,23.59
3/7/30,23.59,23.59,23.59,23.59
3/10/30,23.67,23.67,23.67,23.67
3/11/30,23.72,23.72,23.72,23.72
3/12/30,23.46,23.46,23.46,23.46
3/13/30,23.6,23.6,23.6,23.6
3/14/30,23.45,23.45,23.45,23.45
3/17/30,23.67,23.67,23.67,23.67
3/18/30,23.9,23.9,23.9,23.9
3/19/30,24.03,24.03,24.03,24.03
3/20/30,24.14,24.14,24.14,24.14
3/21/30,24.29,24.29,24.29,24.29
3/24/30,24.28,24.28,24.28,24.28
3/25/30,24.25,24.25,24.25,24.25
3/26/30,24.62,24.62,24.62,24.62
3/27/30,24.57,24.57,24.57,24.57
3/28/30,24.85,24.85,24.85,24.85
3/31/30,25.14,25.14,25.14,25.14
4/1/30,25.37,25.37,25.37,25.37
4/2/30,25.11,25.11,25.11,25.11
4/3/30,25.16,25.16,25.16,25.16
4/4/30,25.54,25.54,25.54,25.54
4/7/30,25.6,25.6,25.6,25.6
4/8/30,25.46,25.46,25.46,25.46
4/9/30,25.87,25.87,25.87,25.87
4/10/30,25.92,25.92,25.92,25.92
4/11/30,25.84,25.84,25.84,25.84
4/14/30,25.73,25.73,25.73,25.73
4/15/30,25.74,25.74,25.74,25.74
4/16/30,25.56,25.56,25.56,25.56
4/17/30,25.75,25.75,25.75,25.75
4/21/30,25.29,25.29,25.29,25.29
4/22/30,25.5,25.5,25.5,25.5
4/23/30,25.55,25.55,25.55,25.55
4/24/30,25.35,25.35,25.35,25.35
4/25/30,25.32,25.32,25.32,25.32
4/28/30,24.76,24.76,24.76,24.76
4/29/30,24.73,24.73,24.73,24.73
4/30/30,24.9,24.9,24.9,24.9
5/1/30,24.3,24.3,24.3,24.3
5/2/30,23.57,23.57,23.57,23.57
5/5/30,22.98,22.98,22.98,22.98
5/6/30,23.76,23.76,23.76,23.76
5/7/30,23.31,23.31,23.31,23.31
5/8/30,23.4,23.4,23.4,23.4
5/9/30,23.69,23.69,23.69,23.69
5/12/30,24.09,24.09,24.09,24.09
5/13/30,24.42,24.42,24.42,24.42
5/14/30,24.57,24.57,24.57,24.57
5/15/30,24.17,24.17,24.17,24.17
5/16/30,24.28,24.28,24.28,24.28
5/19/30,23.75,23.75,23.75,23.75
5/20/30,23.86,23.86,23.86,23.86
5/21/30,23.74,23.74,23.74,23.74
5/22/30,23.79,23.79,23.79,23.79
5/23/30,24.03,24.03,24.03,24.03
5/26/30,24.23,24.23,24.23,24.23
5/27/30,24.24,24.24,24.24,24.24
5/28/30,24.38,24.38,24.38,24.38
5/29/30,24.49,24.49,24.49,24.49
6/2/30,24.4,24.4,24.4,24.4
6/3/30,24.18,24.18,24.18,24.18
6/4/30,24.29,24.29,24.29,24.29
6/5/30,23.91,23.91,23.91,23.91
6/6/30,23.52,23.52,23.52,23.52
6/9/30,22.38,22.38,22.38,22.38
6/10/30,23.01,23.01,23.01,23.01
6/11/30,22.2,22.2,22.2,22.2
6/12/30,22.13,22.13,22.13,22.13
6/13/30,22.26,22.26,22.26,22.26
6/16/30,20.56,20.56,20.56,20.56
6/17/30,20.58,20.58,20.58,20.58
6/18/30,19.86,19.86,19.86,19.86
6/19/30,20.79,20.79,20.79,20.79
6/20/30,20.25,20.25,20.25,20.25
6/23/30,20.09,20.09,20.09,20.09
6/24/30,19.39,19.39,19.39,19.39
6/25/30,19.54,19.54,19.54,19.54
6/26/30,20,20,20,20
6/27/30,19.81,19.81,19.81,19.81
6/30/30,20.46,20.46,20.46,20.46
7/1/30,20.24,20.24,20.24,20.24
7/2/30,20.46,20.46,20.46,20.46
7/3/30,20.25,20.25,20.25,20.25
7/7/30,19.83,19.83,19.83,19.83
7/8/30,19.97,19.97,19.97,19.97
7/9/30,20.26,20.26,20.26,20.26
7/10/30,20.77,20.77,20.77,20.77
7/11/30,20.55,20.55,20.55,20.55
7/14/30,21.36,21.36,21.36,21.36
